2019-12-05 09:04:56  INFO LoggerFactory:? - using logger: org.apache.dubbo.common.logger.log4j.Log4jLoggerAdapter
2019-12-05 09:06:45  INFO CuratorZookeeperClient:296 -  [DUBBO] listen the zookeeper changed. The changed data:null, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:06:45  WARN ConfigurationUtils:76 -  [DUBBO] You specified the config centre, but there's not even one single config item in it., dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:06:45  WARN ConfigurationUtils:76 -  [DUBBO] You specified the config centre, but there's not even one single config item in it., dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:06:45  INFO AbstractConfig:237 -  [DUBBO] There's no valid monitor config found, if you want to open monitor statistics for Dubbo, please make sure your monitor is configured properly., dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:06:48  INFO Server:101 -  [DUBBO] qos-server bind localhost:22240, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:06:48  INFO ZookeeperTransporter:58 -  [DUBBO] find valid zookeeper client from the cache for address: zookeeper://192.168.104.104:2181/org.apache.dubbo.registry.RegistryService?application=coupon-app&dubbo=2.0.2&interface=org.apache.dubbo.registry.RegistryService&pid=225312&qos-port=22240&release=2.7.2&timestamp=1575508005544, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:06:48  INFO ZookeeperRegistry:280 -  [DUBBO] Register: consumer://192.168.2.1/com.study.userserviceapi.service.IUserService?application=coupon-app&category=consumers&check=false&dubbo=2.0.2&interface=com.study.userserviceapi.service.IUserService&lazy=false&methods=findUserById&pid=225312&qos-port=22240&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1575508004432, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:06:48  INFO ZookeeperRegistry:305 -  [DUBBO] Subscribe: consumer://192.168.2.1/com.study.userserviceapi.service.IUserService?application=coupon-app&category=providers,configurators,routers&dubbo=2.0.2&interface=com.study.userserviceapi.service.IUserService&lazy=false&methods=findUserById&pid=225312&qos-port=22240&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1575508004432, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:06:48  INFO ZookeeperRegistry:399 -  [DUBBO] Notify urls for subscribe url consumer://192.168.2.1/com.study.userserviceapi.service.IUserService?application=coupon-app&category=providers,configurators,routers&dubbo=2.0.2&interface=com.study.userserviceapi.service.IUserService&lazy=false&methods=findUserById&pid=225312&qos-port=22240&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1575508004432, urls: [dubbo://192.168.2.1:20881/com.study.userserviceapi.service.IUserService?accesslog=dubbo-access.log&anyhost=true&application=user-app&bean.name=ServiceBean:com.study.userserviceapi.service.IUserService&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.study.userserviceapi.service.IUserService&methods=findUserById&pid=189188&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1575507900293, empty://192.168.2.1/com.study.userserviceapi.service.IUserService?application=coupon-app&category=configurators&dubbo=2.0.2&interface=com.study.userserviceapi.service.IUserService&lazy=false&methods=findUserById&pid=225312&qos-port=22240&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1575508004432, empty://192.168.2.1/com.study.userserviceapi.service.IUserService?application=coupon-app&category=routers&dubbo=2.0.2&interface=com.study.userserviceapi.service.IUserService&lazy=false&methods=findUserById&pid=225312&qos-port=22240&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1575508004432], dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 09:06:48  INFO AbstractClient:199 -  [DUBBO] Succeed connect to server /192.168.2.1:20881 from NettyClient 192.168.2.1 using dubbo version 2.7.2, channel is NettyChannel [channel=[id: 0xae4d6367, L:/192.168.2.1:60949 - R:/192.168.2.1:20881]], dubbo version: 2.7.2, current host: 192.168.2.1
